ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_702b0c6f-1105-4208-9c6d-fcc3ac8a832e,Women's Career Development Amidst the Pink Pandemic,Document,Online Content,0,en-us,3600,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey.It’s both a professional and personal crisis, the impact brought upon us by COVID-19 will impact us for years to come—especially for women.  Now is the time to act and ready ourselves to seek out justice and equity across the organization.  In this session led by Dr. Merary Simeon, she will reveal what’s at stake for women to empower other women: the insights, the key fundamentals, and the foundation for self-empowerment. Learners will gain a greater understanding of: • Techniques for self-advocacy and effective career conversations and planning.• Strategies for allies to support and provide sponsorship and mentorship.• Practices for building resilience and agility in times of change.",Data,https://google.com
Percipio_705fd045-d1eb-4473-87c9-a55859dd609b,Power BI Bootcamp: Live Session 3,Document,Online Content,0,en-us,10800,,Click here to enter the live session on July 21st at 11 AM ET. ,Business Communication,https://google.com
Percipio_717175d5-8f85-45c8-860b-411afccea3f2,10 Tips for Successfully Managing Remote Workers,Document,Online Content,1,en-us,,,Stay-at-home orders prompted by COVID-19 are creating a challenge for managers—including those in HR—at a time when many companies are implementing telework policies for the first time. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Codecademy Languages,https://google.com
Percipio_71775170-b40f-41ef-a8b0-d42106bb7039,CISSP Bootcamp: Live Session 5,Document,Online Content,0,en-us,14400,,Click here to enter the live session on December 3rd at 11 AM EST. In this session Michael Shannon will discuss information security.,Corporate Communications,https://google.com
Percipio_728587ee-bddf-4943-9c61-2357429f2e92,CISSP 2022 Bootcamp: Live Session 2,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 11th at 11 AM EST. In this session Michael Shannon will discuss information security.,Business Strategy,https://google.com
Percipio_72b1dfcd-378f-49d0-8036-0eeb194a7831,"Chatter: The Voice in Our Head, Why It Matters, & How to Harness It",Document,Online Content,0,en-us,3600,,"Have you ever paid attention to your inner voice? How do you combat negative self-talk and its harmful effects? Award-winning psychologist and bestselling author of Chatter: The Voice in Our Head, Why it Matters, and How to Harness it, Ethan Kross explores how the dialogues we have with ourselves impact our lives in more ways than we realize. In this talk, Kross shows us how we can mute our inner critic to become more resilient leaders.",Cloud Platforms,https://google.com
Percipio_72ca4a93-17ef-46bf-94cb-9906fe2fadbf,PMP ATP - October/November NA Cohort: Live Session 3,Document,Online Content,0,en-us,16200,,Click here to register for the Live session on October 26th at 12 PM - 4:30 PM EDT.,Cloud Computing & Server Technology,https://google.com
Percipio_737a8744-de0e-45b9-ac97-65c4e2371300,PMP ATP - September/October/November UK and APAC Cohort: Live Session 7,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on November 9th at 9 AM GMT/6 PM AEST.,Codecademy,https://google.com
Percipio_738b6064-9478-4b29-921b-58509a7db320,PMP ATP - October Cohort: Live Session 2,Document,Online Content,0,en-us,28800,,Click here to enter the Live session on October 26th at 10 AM Eastern.,Business Planning & Analysis,https://google.com
Percipio_73ba3bcd-5051-4825-9165-895c87ee20fc,A Parent's Guide to Virtual Learning: 4 Actions to Improve Your Child's Experience,Document,Online Content,1,en-us,,,"Here are four things that you should know, and actions you can take, to guide your child's journey through these unusual and unprecedented times. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Skills,https://google.com
Percipio_75bc3031-5f14-4dda-bda6-928c83677156,PMP ATP - September/October/November UK and APAC Cohort: Live Session 5,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on October 26th at 9 AM BST/6 PM AEST.,Certifications,https://google.com
Percipio_792ea563-3310-41aa-8d82-49eca8fd1e20,Introduction to Tableau Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to register for the Tableau Bootcamp live session on December 15th from 11 AM - 2:00 PM EDT.,Data Analysis,https://google.com
Percipio_79503182-4af5-4909-bdde-6bb7299d1628,Project Management Fundamentals Bootcamp: Live Session 5,Document,Online Content,0,en-us,10800,,Click here to enter the live session on August 27th at 11 AM EDT.,Cisco WebEx,https://google.com
Percipio_79d64755-37b2-4af5-97a0-7ea710ad1c10,PMP ATP - October/November NA Cohort: Live Session 6,Document,Online Content,0,en-us,16200,,Click here to register for the Live session on November 16th at 12 PM - 4:30 PM EDT.,Customer Service,https://google.com
Percipio_7a82f618-5aa0-438e-b691-d55967880020,Parents' Ultimate Guide to Parental Controls,Document,Online Content,1,en-us,,,"Do you need parental controls? What are the options? Do they really work? Here's everything you need to know about the wide array of parental control solutions, from OS settings to monitoring apps to network hardware. Advice from Common Sense Media editors. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Data Analytics,https://google.com
Percipio_7f6745b8-5c69-46db-9f44-92d46ed615c4,Creating An Inclusive Culture Of Trust and Belonging,Document,Online Content,1,en-us,,,"Creating a Culture of Inclusion is good for everyone. It's good for business; it's good for morale; it's good for productivity, and it helps ensure employee retention. Every organization wants its employees to feel empowered to bring more of their authentic selves to work. Creating a culture where everyone feels welcome and included is a leadership imperative. This journey is designed to help leaders develop and advance their inclusive and authentic leadership to create cultures where everyone feels included, heard, and valued.",Cloud Services,https://google.com
Percipio_8014132b-a132-4dc1-8e30-e150fa61506a,"Back to School Planning: Checklists to Guide Parents, Guardians, and Caregivers",Document,Online Content,1,en-us,,,"For many families, back to school planning will look different this year than it has in previous years. Your school will have new policies in place to prevent the spread of COVID-19. You may also be starting the school year with virtual learning components. Whatever the situation, these checklists are intended to help parents, guardians, and caregivers, plan and prepare for the upcoming school year. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Collaboration,https://google.com
Percipio_80d4c1ac-b2d8-48ee-972b-c9065af3d39e,PMP ATP - September/October/November UK and APAC Cohort: Live Session 6,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on November 2nd at 9 AM GMT/7 PM AEST,Skills for Effective Collaboration,https://google.com
Percipio_823b2e88-12d3-4e14-9065-44fcafb47a06,Workplace Etiquette when Working from Home,Document,Online Content,1,en-us,,,"Workplace etiquette and your routine, to at least some degree, ought to be maintained when working from home. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Communications Skills,https://google.com
Percipio_826f1f11-bbf1-4b12-aeb5-4aededcc1f91,6 things to never do during Zoom or other video chat calls,Document,Online Content,1,en-us,,,"The same rules apply for video chats with Google Meet, Microsoft Teams and Facebook Messenger Rooms. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Operations,https://google.com
